year,state,Auto,Bus,Truck,Motorcycle
1922,Alaska,0.0,0.0,0.0,0.0
1922,Arizona,32134.0,0.0,5900.0,424.0
1922,Arkansas,76696.0,0.0,7900.0,238.0
1922,California,748787.0,0.0,141800.0,16301.0
1922,Colorado,142828.0,0.0,19500.0,2770.0
1922,Connecticut,127055.0,0.0,25929.0,4386.0
1922,Delaware,19860.0,0.0,4700.0,427.0
1922,District of Columbia,46069.0,0.0,6723.0,2357.0
1922,Florida,96942.0,0.0,19228.0,1456.0
1922,Georgia,126498.0,0.0,16925.0,1136.0
1922,Hawaii,0.0,0.0,0.0,0.0
1922,Idaho,49393.0,0.0,4481.0,703.0
1922,Illinois,682250.0,0.0,99876.0,8156.0
1922,Indiana,413410.0,0.0,56529.0,6598.0
1922,Iowa,469871.0,0.0,32019.0,3570.0
1922,Kansas,303725.0,0.0,23469.0,2315.0
1922,Kentucky,136627.0,0.0,17394.0,1042.0
1922,Louisiana,87003.0,0.0,15281.0,509.0
1922,Maine,78697.0,0.0,14227.0,1321.0
1922,Maryland,142248.0,0.0,23399.0,4981.0
1922,Massachusetts,325307.0,0.0,59924.0,10047.0
1922,Michigan,518558.0,0.0,60422.0,5160.0
1922,Minnesota,341322.0,0.0,39235.0,3240.0
1922,Mississippi,71000.0,0.0,6571.0,100.0
1922,Missouri,353375.0,0.0,39594.0,2792.0
1922,Montana,55682.0,0.0,6968.0,397.0
1922,Nebraska,233658.0,0.0,22996.0,1856.0
1922,Nevada,10997.0,0.0,1800.0,112.0
1922,New Hampshire,42270.0,0.0,6276.0,1883.0
1922,New Jersey,267777.0,0.0,74696.0,9284.0
1922,New Mexico,17900.0,0.0,4500.0,163.0
1922,New York,816435.0,0.0,185858.0,25175.0
1922,North Carolina,163600.0,0.0,18950.0,1190.0
1922,North Dakota,96080.0,0.0,2972.0,766.0
1922,Ohio,740884.0,0.0,117832.0,15339.0
1922,Oklahoma,236659.0,0.0,13000.0,952.0
1922,Oregon,116729.0,0.0,17500.0,3206.0
1922,Pennsylvania,683287.0,0.0,151050.0,19316.0
1922,Rhode Island,53307.0,0.0,12776.0,1434.0
1922,South Carolina,88121.0,0.0,7231.0,557.0
1922,South Dakota,116144.0,0.0,9097.0,659.0
1922,Tennessee,119319.0,0.0,16397.0,1680.0
1922,Texas,489938.0,0.0,36300.0,3401.0
1922,Utah,41942.0,0.0,7222.0,742.0
1922,Vermont,41241.0,0.0,2640.0,856.0
1922,Virginia,145000.0,0.0,23000.0,1850.0
1922,Washington,178775.0,0.0,31941.0,3846.0
1922,West Virginia,94940.0,0.0,18000.0,1361.0
1922,Wisconsin,356143.0,0.0,26399.0,5718.0
1922,Wyoming,27410.0,0.0,3227.0,304.0
1923,Alabama,112797.0,0.0,13845.0,599.0
1923,Alaska,0.0,0.0,0.0,0.0
1923,Arizona,43146.0,0.0,6565.0,392.0
1923,Arkansas,102000.0,0.0,11300.0,300.0
1923,California,944783.0,0.0,155500.0,14694.0
1923,Colorado,166256.0,0.0,22700.0,2473.0
1923,Connecticut,152608.0,0.0,29157.0,4450.0
1923,Delaware,24709.0,0.0,5268.0,467.0
